agent_type,noise,pB_scale,pB_lr,coop_bias,gamma,alpha,policy_len,update_interval,preferences,noisy_A,mean_score,mean_cooperation_rate,mean_rank
DBS,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2377.2039285714286,0.48213412698412694,9.0
DBS,0.05,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2179.881428571429,0.40844761904761906,1.4428571428571428
DBS,0.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2148.375178571429,0.4007511904761905,1.0678571428571428
DBS,0.15,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2087.5189285714287,0.40434742063492063,1.9214285714285715
DBS,0.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2055.6764285714285,0.38925436507936506,4.207142857142857
DBS,0.25,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2084.9798214285715,0.42481349206349206,4.7821428571428575
DBS,0.3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2117.05,0.43829444444444443,6.4
DBS,0.35,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2152.19,0.4471111111111111,7.7
DBS,0.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2175.125,0.4582888888888889,9.4
DBS,0.45,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2219.1666666666665,0.47479012345679017,8.333333333333334
DBS,0.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2241.9055555555556,0.5044753086419753,13.333333333333334
Factorized,0.0,1.0,0.5,0.25,0.3,1.0,10,100,nash,True,1627.75,0.40944444444444444,15.75
Factorized,0.0,1.0,0.5,0.5,0.3,1.0,5,10,standard,False,1654.0,0.4399166666666667,15.5
Factorized,0.0,1.0,0.5,0.5,0.6,0.3,1,10,nash,True,1821.05,0.5027916666666666,14.5
Factorized,0.0,1.0,0.5,0.5,0.6,0.6,5,100,standard,True,1542.0,0.3732916666666667,16.75
Factorized,0.0,1.0,0.5,0.5,0.6,1.0,5,50,standard,True,1549.975,0.30547222222222226,16.25
Factorized,0.0,1.0,1.0,0.5,0.6,0.3,5,100,standard,True,1641.1875,0.43604166666666666,15.75
Factorized,0.0,1.0,1.0,0.5,1.0,0.3,5,100,nash,False,1864.1,0.5604722222222223,14.0
Factorized,0.0,1.0,1.0,0.75,0.3,0.6,5,50,nash,True,1689.9375,0.4890416666666667,15.5
Factorized,0.0,1.0,1.0,0.75,0.3,0.6,5,100,nash,False,1838.8625,0.5399444444444444,14.25
Factorized,0.0,1.0,1.0,0.75,0.6,1.0,10,10,standard,True,1532.3,0.3445138888888889,16.75
Factorized,0.0,1.0,1.5,0.5,0.3,0.3,5,50,nash,True,1679.075,0.4893194444444444,15.75
Factorized,0.0,1.0,1.5,0.5,1.0,0.6,10,10,nash,False,2028.85,0.6330138888888889,12.5
Factorized,0.0,1.0,1.5,0.75,0.3,0.3,5,100,nash,False,1724.3375,0.5153194444444444,15.0
Factorized,0.0,10.0,0.5,0.5,0.3,0.3,5,50,standard,False,1693.475,0.482375,15.25
Factorized,0.0,10.0,0.5,0.5,1.0,0.6,10,100,nash,False,1973.6125,0.6304444444444445,12.75
Factorized,0.0,10.0,0.5,0.75,0.3,0.3,5,50,nash,True,1696.75,0.49240277777777774,15.5
Factorized,0.0,10.0,0.5,0.75,0.3,0.6,1,100,nash,False,1738.6125,0.5391805555555556,15.0
Factorized,0.0,10.0,0.5,0.75,0.3,1.0,5,100,standard,False,1650.45,0.44094444444444447,15.75
Factorized,0.0,10.0,0.5,0.75,1.0,0.3,10,50,nash,False,1936.5500000000002,0.5714305555555556,13.5
Factorized,0.0,10.0,1.0,0.25,0.6,0.3,5,50,standard,True,1630.9375,0.41883333333333334,15.75
Factorized,0.0,10.0,1.0,0.5,1.0,1.0,1,50,nash,True,1620.5,0.3325694444444445,15.75
Factorized,0.0,10.0,1.0,0.75,0.3,0.3,5,50,standard,True,1682.575,0.47375,15.75
Factorized,0.0,10.0,1.0,0.75,0.3,0.3,5,100,standard,False,1693.4,0.4823472222222222,15.25
Factorized,0.0,10.0,1.5,0.75,0.3,0.3,1,50,nash,True,1772.825,0.49575,14.75
Factorized,0.0,10.0,1.5,0.75,0.3,0.6,10,50,nash,True,1684.8625,0.480375,15.5
Factorized,0.0,100.0,1.0,0.25,0.3,0.6,10,100,standard,False,1644.7875,0.46419444444444447,15.75
Factorized,0.0,100.0,1.0,0.25,0.6,0.3,1,10,standard,True,1726.8625,0.4189861111111111,15.25
Factorized,0.0,100.0,1.0,0.25,0.6,0.3,5,10,standard,True,1606.0749999999998,0.3990972222222222,16.5
Factorized,0.0,100.0,1.0,0.5,1.0,0.3,5,10,nash,False,1846.5375,0.569,14.0
Factorized,0.0,100.0,1.5,0.5,0.6,0.6,10,100,nash,False,1884.6,0.5846944444444444,13.75
Factorized,0.05,1.0,0.5,0.25,0.3,1.0,10,100,nash,True,1738.6875,0.43995833333333334,13.5
Factorized,0.05,1.0,0.5,0.5,0.3,1.0,5,10,standard,False,1731.15,0.4497777777777778,14.5
Factorized,0.05,1.0,0.5,0.5,0.6,0.3,1,10,nash,True,1817.2375,0.5068472222222222,12.0
Factorized,0.05,1.0,0.5,0.5,0.6,0.6,5,100,standard,True,1644.9,0.38841666666666663,16.5
Factorized,0.05,1.0,0.5,0.5,0.6,1.0,5,50,standard,True,1653.875,0.33344444444444443,16.25
Factorized,0.05,1.0,1.0,0.5,0.6,0.3,5,100,standard,True,1719.15,0.4431111111111111,14.75
Factorized,0.05,1.0,1.0,0.5,1.0,0.3,5,100,nash,False,1942.95,0.56375,7.25
Factorized,0.05,1.0,1.0,0.75,0.3,0.6,5,50,nash,True,1779.55,0.49330555555555555,12.25
Factorized,0.05,1.0,1.0,0.75,0.3,0.6,5,100,nash,False,1888.225,0.5386805555555556,9.25
Factorized,0.05,1.0,1.0,0.75,0.6,1.0,10,10,standard,True,1679.4,0.3589583333333333,15.5
Factorized,0.05,1.0,1.5,0.5,0.3,0.3,5,50,nash,True,1762.9875000000002,0.4942916666666667,13.25
Factorized,0.05,1.0,1.5,0.5,1.0,0.6,10,10,nash,False,1907.9,0.6126666666666667,8.5
Factorized,0.05,1.0,1.5,0.75,0.3,0.3,5,100,nash,False,1805.225,0.5160138888888889,11.25
Factorized,0.05,10.0,0.5,0.5,0.3,0.3,5,50,standard,False,1793.8249999999998,0.4852638888888889,12.0
Factorized,0.05,10.0,0.5,0.5,1.0,0.6,10,100,nash,False,1930.35,0.6234027777777778,8.0
Factorized,0.05,10.0,0.5,0.75,0.3,0.3,5,50,nash,True,1788.4875,0.49412500000000004,12.0
Factorized,0.05,10.0,0.5,0.75,0.3,0.6,1,100,nash,False,1787.95,0.5403472222222222,12.25
Factorized,0.05,10.0,0.5,0.75,0.3,1.0,5,100,standard,False,1722.4125,0.45011111111111113,15.0
Factorized,0.05,10.0,0.5,0.75,1.0,0.3,10,50,nash,False,1798.4,0.5587916666666667,12.25
Factorized,0.05,10.0,1.0,0.25,0.6,0.3,5,50,standard,True,1698.1,0.4321666666666667,15.0
Factorized,0.05,10.0,1.0,0.5,1.0,1.0,1,50,nash,True,1769.775,0.39794444444444443,11.75
Factorized,0.05,10.0,1.0,0.75,0.3,0.3,5,50,standard,True,1762.6625,0.474625,12.75
Factorized,0.05,10.0,1.0,0.75,0.3,0.3,5,100,standard,False,1790.4875,0.4851388888888889,12.0
Factorized,0.05,10.0,1.5,0.75,0.3,0.3,1,50,nash,True,1734.95,0.4954305555555556,14.75
Factorized,0.05,10.0,1.5,0.75,0.3,0.6,10,50,nash,True,1776.275,0.4856666666666667,12.5
Factorized,0.05,100.0,1.0,0.25,0.3,0.6,10,100,standard,False,1761.825,0.47020833333333334,14.0
Factorized,0.05,100.0,1.0,0.25,0.6,0.3,1,10,standard,True,1732.975,0.4291666666666667,14.25
Factorized,0.05,100.0,1.0,0.25,0.6,0.3,5,10,standard,True,1681.175,0.4074583333333333,15.75
Factorized,0.05,100.0,1.0,0.5,1.0,0.3,5,10,nash,False,1904.325,0.5682916666666666,9.0
Factorized,0.05,100.0,1.5,0.5,0.6,0.6,10,100,nash,False,1823.3125,0.5759305555555556,10.75
Factorized,0.1,1.0,0.5,0.25,0.3,1.0,10,100,nash,True,1782.3375,0.45148611111111114,14.75
Factorized,0.1,1.0,0.5,0.5,0.3,1.0,5,10,standard,False,1774.2,0.45843055555555556,15.75
Factorized,0.1,1.0,0.5,0.5,0.6,0.3,1,10,nash,True,1883.1125,0.5089722222222223,9.25
Factorized,0.1,1.0,0.5,0.5,0.6,0.6,5,100,standard,True,1788.4375,0.3997777777777778,14.5
Factorized,0.1,1.0,0.5,0.5,0.6,1.0,5,50,standard,True,1800.8500000000001,0.3504027777777778,13.5
Factorized,0.1,1.0,1.0,0.5,0.6,0.3,5,100,standard,True,1771.8,0.4499861111111111,15.75
Factorized,0.1,1.0,1.0,0.5,1.0,0.3,5,100,nash,False,1906.825,0.555,9.25
Factorized,0.1,1.0,1.0,0.75,0.3,0.6,5,50,nash,True,1812.9750000000001,0.4962361111111111,14.25
Factorized,0.1,1.0,1.0,0.75,0.3,0.6,5,100,nash,False,1880.0625,0.5364861111111111,10.5
Factorized,0.1,1.0,1.0,0.75,0.6,1.0,10,10,standard,True,1735.95,0.37302777777777774,16.75
Factorized,0.1,1.0,1.5,0.5,0.3,0.3,5,50,nash,True,1800.3,0.49690277777777775,15.0
Factorized,0.1,1.0,1.5,0.5,1.0,0.6,10,10,nash,False,1860.2375,0.5962222222222222,11.75
Factorized,0.1,1.0,1.5,0.75,0.3,0.3,5,100,nash,False,1839.7,0.5163472222222222,11.75
Factorized,0.1,10.0,0.5,0.5,0.3,0.3,5,50,standard,False,1794.275,0.4887222222222222,15.25
Factorized,0.1,10.0,0.5,0.5,1.0,0.6,10,100,nash,False,1917.35,0.6103472222222222,8.25
Factorized,0.1,10.0,0.5,0.75,0.3,0.3,5,50,nash,True,1798.55,0.4961527777777778,15.0
Factorized,0.1,10.0,0.5,0.75,0.3,0.6,1,100,nash,False,1848.7625,0.5403333333333333,12.0
Factorized,0.1,10.0,0.5,0.75,0.3,1.0,5,100,standard,False,1770.5625,0.45855555555555555,15.75
Factorized,0.1,10.0,0.5,0.75,1.0,0.3,10,50,nash,False,1833.4125,0.5557222222222222,12.75
Factorized,0.1,10.0,1.0,0.25,0.6,0.3,5,50,standard,True,1775.9125,0.4405,15.25
Factorized,0.1,10.0,1.0,0.5,1.0,1.0,1,50,nash,True,1817.075,0.41525,12.75
Factorized,0.1,10.0,1.0,0.75,0.3,0.3,5,50,standard,True,1795.3,0.4784861111111111,14.5
Factorized,0.1,10.0,1.0,0.75,0.3,0.3,5,100,standard,False,1793.2625,0.4886111111111111,15.25
Factorized,0.1,10.0,1.5,0.75,0.3,0.3,1,50,nash,True,1817.5375,0.4971111111111111,13.0
Factorized,0.1,10.0,1.5,0.75,0.3,0.6,10,50,nash,True,1780.3625,0.4866666666666667,15.0
