,testing_strategy,noise_level,mean_score,std_dev,n_reps,se,ci_lower,ci_upper
0,0_DBS,0.0,0.5005555555555555,0.0,10.0,0.0,0.5005555555555555,0.5005555555555555
1,0_DBS,0.05,0.24099444444444443,0.0059251996082668205,10.0,0.0018737126353260598,0.23675581198531134,0.2452330769035775
2,0_DBS,0.1,0.2320611111111111,0.0336249124812095,10.0,0.010633130956444572,0.20800729775442436,0.2561149244677979
3,0_DBS,0.15,0.2120888888888889,0.004200496410666474,10.0,0.0013283135961068052,0.2090840347729394,0.2150937430048384
4,0_DBS,0.2,0.21294444444444444,0.01826179458020042,10.0,0.0057748865035551775,0.19988074357575764,0.22600814531313124
5,0_DBS,0.25,0.20429444444444447,0.005043368161681843,10.0,0.0015948530469690957,0.20068663620054364,0.2079022526883453
6,0_DBS,0.3,0.20238888888888887,0.005495415223380876,10.0,0.0017378028794246569,0.1984577056575699,0.20632007212020784
7,0_DBS,0.35,0.21225555555555556,0.004573076814363448,10.0,0.001446133864829551,0.2089841734747855,0.2155269376363256
8,0_DBS,0.4,0.22126111111111113,0.0030300337048291387,10.0,0.0009581807894338414,0.21909355557498417,0.2234286666472381
9,0_DBS,0.45,0.2338722222222222,0.00238982898527806,10.0,0.0007557302811767676,0.23216264155347244,0.23558180289097197
10,1_RiskyQLearner,0.0,0.5329777777777778,0.0074456512749452395,10.0,0.0023545216692163543,0.5276514797186648,0.5383040758368908
11,1_RiskyQLearner,0.05,0.5107944444444444,0.004121029909761229,10.0,0.0013031840820523647,0.5078464372387123,0.5137424516501766
12,1_RiskyQLearner,0.1,0.4809055555555556,0.0024684636430787376,10.0,0.0007805967433445743,0.4791397230412981,0.4826713880698131
13,1_RiskyQLearner,0.15,0.4505555555555555,0.0021476691675450443,10.0,0.0006791526229960114,0.44901920558477393,0.45209190552633705
14,1_RiskyQLearner,0.2,0.4211555555555555,0.003720775469713531,10.0,0.0011766125146377606,0.4184938731276639,0.4238172379834471
15,1_RiskyQLearner,0.25,0.3903111111111111,0.0027055042203662834,10.0,0.0008555555555555566,0.3883757099828915,0.3922465122393307
16,1_RiskyQLearner,0.3,0.3612833333333333,0.002218584986328855,10.0,0.0007015781739452707,0.3596962532418409,0.3628704134248257
17,1_RiskyQLearner,0.35,0.3335611111111111,0.0018160332266740353,10.0,0.00057428013028348,0.33226199920090554,0.3348602230213166
18,1_RiskyQLearner,0.4,0.30456666666666665,0.0033333127571381375,10.0,0.0010540860466252198,0.30218215836602885,0.30695117496730445
19,1_RiskyQLearner,0.45,0.2771944444444444,0.002847910937480131,10.0,0.0009005885135742603,0.2751571716876783,0.27923171720121054
20,2_APavlov2011,0.0,0.6036666666666666,1.1702778228589004e-16,10.0,3.700743415417188e-17,0.6036666666666665,0.6036666666666667
21,2_APavlov2011,0.05,0.2383,0.011928318140565816,10.0,0.00377206539792925,0.22976699524132027,0.24683300475867975
22,2_APavlov2011,0.1,0.22326111111111108,0.007491240884278288,10.0,0.0023689383695293244,0.2179022002101204,0.22862002201210174
23,2_APavlov2011,0.15,0.21941666666666668,0.0070834846268035285,10.0,0.0022399945191486944,0.21434944702042052,0.22448388631291283
24,2_APavlov2011,0.2,0.21559444444444442,0.003201192550418666,10.0,0.0010123059688086386,0.213304449246104,0.21788443964278484
25,2_APavlov2011,0.25,0.21857222222222222,0.004714558050673339,10.0,0.0014908741601211283,0.21519963056199012,0.22194481388245432
26,2_APavlov2011,0.3,0.22141666666666668,0.003831879309135472,10.0,0.0012117466335740544,0.2186755053399628,0.22415782799337056
27,2_APavlov2011,0.35,0.22885555555555553,0.005602346167354812,10.0,0.001771617412955606,0.22484787853500096,0.2328632325761101
28,2_APavlov2011,0.4,0.2333555555555556,0.004079558597925697,10.0,0.0012900697017568267,0.23043721513914533,0.23627389597196585
29,2_APavlov2011,0.45,0.24206111111111112,0.003109506861515292,10.0,0.0009833124082310098,0.23983670390350803,0.2442855183187142
30,3_ContriteTitForTat,0.0,0.48616666666666675,5.851389114294502e-17,10.0,1.850371707708594e-17,0.4861666666666667,0.4861666666666668
31,3_ContriteTitForTat,0.05,0.3440722222222222,0.008770822764233206,10.0,0.0027735776888630935,0.3377979535866283,0.35034649085781616
32,3_ContriteTitForTat,0.1,0.3202,0.005881675059786654,10.0,0.0018599489645932852,0.31599250312720223,0.32440749687279774
33,3_ContriteTitForTat,0.15,0.2959111111111111,0.0068899939376537355,10.0,0.002178807390773797,0.29098230636559275,0.3008399158566295
34,3_ContriteTitForTat,0.2,0.2805666666666667,0.005402064839184082,10.0,0.0017082828959732912,0.27670226227735956,0.2844310710559738
35,3_ContriteTitForTat,0.25,0.27103333333333335,0.005162596299217752,10.0,0.0016325562945484248,0.2673402344178581,0.2747264322488086
36,3_ContriteTitForTat,0.3,0.26388333333333336,0.00626382969231014,10.0,0.0019807968703091728,0.25940245950500446,0.26836420716166226
37,3_ContriteTitForTat,0.35,0.2612555555555556,0.0037302015082540853,10.0,0.0011795932897478289,0.2585871301458979,0.26392398096521325
38,3_ContriteTitForTat,0.4,0.2581888888888889,0.003561646018261289,10.0,0.0011262913636975334,0.25564104081303984,0.260736736964738
39,3_ContriteTitForTat,0.45,0.2561055555555556,0.0030173765165328642,10.0,0.0009541782350548561,0.25394705442648674,0.25826405668462443
40,4_StochasticWSLS,0.0,0.3864055555555556,0.004288630613345362,10.0,0.0013561840781296252,0.383337654029066,0.3894734570820452
41,4_StochasticWSLS,0.05,0.3475888888888889,0.007613890634219099,10.0,0.0024077236259556307,0.3421422396422603,0.35303553813551747
42,4_StochasticWSLS,0.1,0.3233333333333333,0.005908481267773667,10.0,0.001868425831860401,0.3191066604545287,0.32756000621213793
43,4_StochasticWSLS,0.15,0.30319444444444443,0.0054878122850794435,10.0,0.0017353986192304308,0.2992687000275452,0.3071201888613437
44,4_StochasticWSLS,0.2,0.28658333333333336,0.003851428929773635,10.0,0.0012179287664349375,0.2838281870504965,0.2893384796161702
45,4_StochasticWSLS,0.25,0.2715444444444445,0.004174585068462144,10.0,0.001320119710247032,0.26855812618608427,0.2745307627028047
46,4_StochasticWSLS,0.3,0.2618111111111111,0.0029868481720274195,10.0,0.0009445243248717069,0.25967444864411265,0.26394777357810956
47,4_StochasticWSLS,0.35,0.2552388888888889,0.0029779770064180242,10.0,0.0009417190159890824,0.2531085724714733,0.2573692053063045
48,4_StochasticWSLS,0.4,0.25204444444444446,0.0035986775501202356,10.0,0.0011380017622894694,0.24947010560654076,0.25461878328234816
49,4_StochasticWSLS,0.45,0.24800555555555553,0.0033671586243665536,10.0,0.0010647890496077643,0.24559683538005672,0.25041427573105435
50,5_Cooperator,0.0,0.625,0.0,10.0,0.0,0.625,0.625
51,5_Cooperator,0.05,0.5450444444444443,0.004329279522010335,10.0,0.0013690383917077723,0.5419474644404203,0.5481414244484684
52,5_Cooperator,0.1,0.5099333333333333,0.005224441346208472,10.0,0.0016521134155975065,0.5061959931363921,0.5136706735302746
53,5_Cooperator,0.15,0.4734777777777778,0.006274209627290755,10.0,0.0019840792939594927,0.4689894785912768,0.47796607696427873
54,5_Cooperator,0.2,0.4405944444444444,0.0048242109172316255,10.0,0.0015255494411501975,0.4371434118488584,0.4440454770400304
55,5_Cooperator,0.25,0.4060777777777778,0.0038621834375583285,10.0,0.0012213296404063017,0.4033149381835267,0.4088406173720289
56,5_Cooperator,0.3,0.3734611111111111,0.004678120130576419,10.0,0.001479351478050579,0.37011458556866017,0.376807636653562
57,5_Cooperator,0.35,0.34157777777777776,0.003149912359701412,10.0,0.0009960897486572039,0.3393244662180073,0.3438310893375482
58,5_Cooperator,0.4,0.31029444444444443,0.005061897392541656,10.0,0.0016007125042499049,0.3066733811872854,0.3139155077016035
59,5_Cooperator,0.45,0.2814388888888889,0.003790053584428522,10.0,0.0011985201780879405,0.2787276478832021,0.2841501298945757
60,6_Defector,0.0,0.0,0.0,10.0,0.0,0.0,0.0
61,6_Defector,0.05,0.02053888888888889,0.0012188646361970398,10.0,0.00038543884098151575,0.019666965653920374,0.021410812123857408
62,6_Defector,0.1,0.0427,0.0009163205481984756,10.0,0.0002897659999121282,0.0420445037677472,0.0433554962322528
63,6_Defector,0.15,0.06543333333333334,0.0018083406819368627,10.0,0.0005718475340462594,0.06413972433813014,0.06672694232853654
64,6_Defector,0.2,0.089,0.0022177423980947984,10.0,0.0007013117241503429,0.08741352265981973,0.09058647734018026
65,6_Defector,0.25,0.11314444444444445,0.0022432951463983945,10.0,0.0007093922126619796,0.11153968776929823,0.11474920111959067
66,6_Defector,0.3,0.13834444444444444,0.0013174985651361478,10.0,0.00041662962798339343,0.13740196274724456,0.1392869261416443
67,6_Defector,0.35,0.16570000000000001,0.0018061395067091202,10.0,0.0005711514613213787,0.16440796563069726,0.16699203436930277
68,6_Defector,0.4,0.19273888888888893,0.0028670889247817727,10.0,0.0009066531256553579,0.1906878970264636,0.19478988075131426
69,6_Defector,0.45,0.21985000000000002,0.0037796881516873175,10.0,0.0011952423404483915,0.21714617397820818,0.22255382602179186
70,7_JaxFiveStateAgent,0.0,0.6039055555555556,0.002076726148339953,10.0,0.0006567184705182956,0.602419955163494,0.6053911559476172
71,7_JaxFiveStateAgent,0.05,0.5362666666666668,0.005391707294037902,10.0,0.0017050075526102958,0.532409671618809,0.5401236617145245
72,7_JaxFiveStateAgent,0.1,0.46686666666666665,0.005365911303332022,10.0,0.0016968501440971845,0.4630281249589072,0.4707052083744261
73,7_JaxFiveStateAgent,0.15,0.4104777777777778,0.004126780282579375,10.0,0.0013050025096024108,0.4075256570031381,0.41342989855241746
74,7_JaxFiveStateAgent,0.2,0.3663722222222222,0.006374355450350054,10.0,0.0020157481838614525,0.3618122830295899,0.3709321614148545
75,7_JaxFiveStateAgent,0.25,0.3335444444444444,0.004170228929908575,10.0,0.0013187421782837772,0.33056124237988194,0.3365276465090069
76,7_JaxFiveStateAgent,0.3,0.3100277777777778,0.004739601280886739,10.0,0.001498793524865357,0.3066372712698643,0.3134182842856913
77,7_JaxFiveStateAgent,0.35,0.2910111111111111,0.00497378587731326,10.0,0.0015728491966288704,0.2874530790348678,0.29456914318735444
78,7_JaxFiveStateAgent,0.4,0.2759,0.0025850153823041354,10.0,0.0008174536394651989,0.27405079139418265,0.2777492086058173
79,7_JaxFiveStateAgent,0.45,0.26222222222222225,0.003280862745780887,10.0,0.0010374998967061586,0.259875234399428,0.2645692100450165
80,8_JaxFiveStateAgentDecay,0.0,0.5724388888888889,0.001777864581214169,10.0,0.0005622101447978178,0.5711670811828053,0.5737106965949725
81,8_JaxFiveStateAgentDecay,0.05,0.5127722222222222,0.0066902079212964915,10.0,0.0021156295051397425,0.5079863357832248,0.5175581086612195
82,8_JaxFiveStateAgentDecay,0.1,0.45293888888888895,0.004349246659141975,10.0,0.0013753525548766625,0.449827625255425,0.45605015252235287
83,8_JaxFiveStateAgentDecay,0.15,0.40026111111111107,0.004137390979255695,10.0,0.0013083579065082459,0.3973013999013266,0.4032208223208955
84,8_JaxFiveStateAgentDecay,0.2,0.3586611111111111,0.005256418768667955,10.0,0.0016622255644648453,0.35490089564417776,0.36242132657804443
85,8_JaxFiveStateAgentDecay,0.25,0.32671111111111106,0.0033672961152194595,10.0,0.0010648325280330265,0.32430229258058113,0.329119929641641
86,8_JaxFiveStateAgentDecay,0.3,0.3055333333333333,0.00440928998076002,10.0,0.0013943399203361674,0.3023791172950914,0.3086875493715752
87,8_JaxFiveStateAgentDecay,0.35,0.28792222222222225,0.003781062479053683,10.0,0.0011956769409212332,0.2852174130658578,0.2906270313785867
88,8_JaxFiveStateAgentDecay,0.4,0.27381666666666665,0.0032198852743068724,10.0,0.0010182171271245757,0.27151329949920106,0.27612003383413225
89,8_JaxFiveStateAgentDecay,0.45,0.2608666666666667,0.004087452780546347,10.0,0.0012925660614914838,0.25794267909220164,0.26379065424113174
