,testing_strategy,noise_level,mean_score,std_dev,n_reps,se,ci_lower,ci_upper
0,0_DBS,0.0,2.2965777777777783,0.046447945700622266,10.0,0.01468813010497917,2.2633509190518666,2.32980463650369
1,0_DBS,0.05,2.1985777777777775,0.16993328433484864,10.0,0.053737622877113304,2.0770148292715636,2.3201407262839915
2,0_DBS,0.1,2.188455555555555,0.1370715567133019,10.0,0.043345832163897764,2.0904004708461223,2.286510640264988
3,0_DBS,0.15,2.2289333333333334,0.08616685491617647,10.0,0.02724835203483947,2.1672932786017514,2.2905733880649155
4,0_DBS,0.2,2.2140611111111115,0.12600069253734394,10.0,0.039844917517658736,2.123925645545209,2.304196576677014
5,0_DBS,0.25,2.1732055555555556,0.0778393409353941,10.0,0.02461496089222268,2.1175226454598404,2.228888465651271
6,0_DBS,0.3,2.1972666666666667,0.05620682949389548,10.0,0.017774160125743885,2.1570587230244995,2.237474610308834
7,0_DBS,0.35,2.2043833333333334,0.020357848845155326,10.0,0.006437717061211932,2.189820205570885,2.218946461095782
8,0_DBS,0.4,2.2285777777777778,0.02225343795205293,10.0,0.007037154969772015,2.212658627256794,2.2444969282987617
9,0_DBS,0.45,2.2393833333333335,0.018854606689497354,10.0,0.005962350152545876,2.2258955602283077,2.2528711064383593
10,1_RiskyQLearner,0.0,2.366894444444444,0.11449503391630221,10.0,0.036206508795374334,2.2849896312310483,2.44879925765784
11,1_RiskyQLearner,0.05,2.0833111111111107,0.11242549186394725,10.0,0.03555206213548023,2.0028867590971,2.1637354631251213
12,1_RiskyQLearner,0.1,2.058355555555555,0.13097387722662487,10.0,0.041417576601939184,1.96466248797742,2.15204862313369
13,1_RiskyQLearner,0.15,2.0729277777777777,0.12096947786429409,10.0,0.038253907741249045,1.9863914263737512,2.159464129181804
14,1_RiskyQLearner,0.2,2.072394444444444,0.11920717591131724,10.0,0.037696618931612066,1.9871187679129163,2.157670120975972
15,1_RiskyQLearner,0.25,2.088633333333333,0.09529539015849368,10.0,0.03013504834152342,2.0204631178746015,2.1568035487920647
16,1_RiskyQLearner,0.3,2.0745000000000005,0.06688419757142687,10.0,0.021150640379841136,2.0266539273657918,2.122346072634209
17,1_RiskyQLearner,0.35,2.088538888888889,0.028645269672718583,10.0,0.009058429635553675,2.068047297404611,2.1090304803731668
18,1_RiskyQLearner,0.4,2.1315055555555555,0.021668652172399834,10.0,0.006852229469073901,2.11600473558057,2.147006375530541
19,1_RiskyQLearner,0.45,2.1843555555555554,0.013668202262419809,10.0,0.004322265066911306,2.174577912674688,2.1941331984364227
20,2_APavlov2011,0.0,2.6326000000000005,0.07070143759828115,10.0,0.02235775766588332,2.582023238350766,2.683176761649235
21,2_APavlov2011,0.05,1.753938888888889,0.05314718317616688,10.0,0.016806615005886923,1.7159196843699906,1.7919580934077872
22,2_APavlov2011,0.1,1.853488888888889,0.07305987078275507,10.0,0.02310355972310948,1.8012250057738295,1.9057527720039484
23,2_APavlov2011,0.15,1.9421,0.06518207484161909,10.0,0.02061238191150754,1.895471552615399,1.988728447384601
24,2_APavlov2011,0.2,2.005411111111111,0.0732344273160327,10.0,0.023158759345671513,1.9530223577744859,2.057799864447736
25,2_APavlov2011,0.25,2.054483333333333,0.03351649318620147,10.0,0.010598845764991061,2.030507078468073,2.0784595881985934
26,2_APavlov2011,0.3,2.1111,0.027849793068116288,10.0,0.008806877845961632,2.0911774581983766,2.1310225418016233
27,2_APavlov2011,0.35,2.155566666666666,0.021659064826608603,10.0,0.006849197684132309,2.1400727050657027,2.1710606282676297
28,2_APavlov2011,0.4,2.2027277777777776,0.02095274338644896,10.0,0.00662583923302083,2.1877390880968797,2.2177164674586756
29,2_APavlov2011,0.45,2.2287055555555555,0.012519451258260355,10.0,0.003958998103156363,2.2197496796387743,2.2376614314723366
30,3_ContriteTitForTat,0.0,2.7724722222222224,0.06679083729451263,10.0,0.02112111726803783,2.7246929355068494,2.8202515089375955
31,3_ContriteTitForTat,0.05,2.136888888888889,0.09531203177941623,10.0,0.030140310884130654,2.0687067687317033,2.205071009046075
32,3_ContriteTitForTat,0.1,2.1396055555555553,0.08801519872022841,10.0,0.02783284966682588,2.0766432753191038,2.202567835792007
33,3_ContriteTitForTat,0.15,2.13915,0.07725486942004606,10.0,0.024430134770623693,2.0838851956391427,2.194414804360857
34,3_ContriteTitForTat,0.2,2.1656166666666667,0.08043533152973904,10.0,0.025435885198473104,2.1080766967714064,2.223156636561927
35,3_ContriteTitForTat,0.25,2.148744444444444,0.060534746679535685,10.0,0.019142767708864767,2.1054404953549835,2.192048393533905
36,3_ContriteTitForTat,0.3,2.1471999999999993,0.032572439055253886,10.0,0.01030030963616254,2.123899080776939,2.1705009192230595
37,3_ContriteTitForTat,0.35,2.1631944444444446,0.01962573773437968,10.0,0.006206203200175244,2.14915503742104,2.1772338514678493
38,3_ContriteTitForTat,0.4,2.1870722222222225,0.015298516787983349,10.0,0.004837815787235065,2.17612832258656,2.198016121857885
39,3_ContriteTitForTat,0.45,2.2185166666666665,0.012450947650427705,10.0,0.0039373353602873504,2.209609795278834,2.227423538054499
40,4_StochasticWSLS,0.0,2.3612611111111113,0.17238365602001182,10.0,0.05451249844102337,2.237945272297677,2.4845769499245454
41,4_StochasticWSLS,0.05,2.1719666666666666,0.12125972080728467,10.0,0.03834569061871311,2.0852226879689577,2.2587106453643755
42,4_StochasticWSLS,0.1,2.13235,0.06743589167199242,10.0,0.021325101372787647,2.0841092691809586,2.1805907308190418
43,4_StochasticWSLS,0.15,2.158711111111111,0.11295813225858085,10.0,0.03572049781756554,2.0779057311123905,2.239516491109831
44,4_StochasticWSLS,0.2,2.096966666666667,0.045322349492404504,10.0,0.014332185330617444,2.064545010961658,2.1293883223716756
45,4_StochasticWSLS,0.25,2.162916666666667,0.07870565248131987,10.0,0.02488891265706538,2.1066140346238362,2.2192192987094974
46,4_StochasticWSLS,0.3,2.13695,0.035552319007784564,10.0,0.011242630416549677,2.111517403073881,2.1623825969261192
47,4_StochasticWSLS,0.35,2.171594444444444,0.028274327932374096,10.0,0.00894112755768214,2.1513682086958412,2.191820680193047
48,4_StochasticWSLS,0.4,2.1839111111111107,0.01581236861990454,10.0,0.005000310004107163,2.1725996240188286,2.195222598203393
49,4_StochasticWSLS,0.45,2.2174666666666667,0.011595585934687623,10.0,0.003666846235782534,2.2091716841893065,2.225761649144027
50,5_Cooperator,0.0,1.7761333333333336,0.025639572038569407,10.0,0.008107944587384586,1.7577918884089574,1.7944747782577097
51,5_Cooperator,0.05,1.895127777777778,0.15413030724616425,10.0,0.048740282735943365,1.7848695980671296,2.0053859574884263
52,5_Cooperator,0.1,1.9577944444444442,0.11284696548878674,10.0,0.035685343798298234,1.8770685883622127,2.0385203005266757
53,5_Cooperator,0.15,2.0064,0.11326545655597749,10.0,0.03581768229357397,1.9253747734427593,2.087425226557241
54,5_Cooperator,0.2,2.0361666666666665,0.0693815468246458,10.0,0.021940371555150374,1.9865340979975028,2.08579923533583
55,5_Cooperator,0.25,2.0665444444444443,0.05986915201931343,10.0,0.018932288196389944,2.023716633091763,2.1093722557971257
56,5_Cooperator,0.3,2.081144444444444,0.072147393333948,10.0,0.02281500901793248,2.029533308373947,2.132755580514941
57,5_Cooperator,0.35,2.0944555555555553,0.03441945329943651,10.0,0.010884386824401689,2.06983336193746,2.1190777491736505
58,5_Cooperator,0.4,2.1317333333333335,0.021603307169469173,10.0,0.006831565564776774,2.116279258357466,2.147187408309201
59,5_Cooperator,0.45,2.1873833333333335,0.017163449097160992,10.0,0.005427559165138934,2.1751053414911,2.199661325175567
60,6_Defector,0.0,1.1691555555555557,0.0034439266835070465,10.0,0.001089065241451211,1.1666919188187914,1.17161919229232
61,6_Defector,0.05,1.6897999999999995,0.023915750043374595,10.0,0.007562824208833443,1.6726917030445805,1.7069082969554186
62,6_Defector,0.1,1.8273555555555556,0.020208501653874618,10.0,0.006390489332552345,1.8128992643377797,1.8418118467733315
63,6_Defector,0.15,1.9618166666666668,0.021971596735333943,10.0,0.006948028951437502,1.9460991332064548,1.9775342001268787
64,6_Defector,0.2,2.04205,0.015503958740448036,10.0,0.004902782236909111,2.0309591360448622,2.053140863955138
65,6_Defector,0.25,2.1042888888888887,0.02683671092920936,10.0,0.008486513144383534,2.085091062391666,2.1234867153861114
66,6_Defector,0.3,2.1641666666666666,0.02582725934168932,10.0,0.008167296523959922,2.1456909583338373,2.182642374999496
67,6_Defector,0.35,2.217283333333333,0.020022731423623267,10.0,0.006331743627647527,2.202959934132694,2.231606732533972
68,6_Defector,0.4,2.25,0.01930706317943108,10.0,0.0061054294575774385,2.2361885590202406,2.2638114409797594
69,6_Defector,0.45,2.2575555555555558,0.014644671123594612,10.0,0.00463105163346562,2.2470793889313643,2.2680317221797472
70,7_JaxFiveStateAgent,0.0,2.3428722222222222,0.1501619976848231,10.0,0.047485393068497195,2.235452800161379,2.4502916442830656
71,7_JaxFiveStateAgent,0.05,2.219088888888889,0.08894426207367126,10.0,0.028126645295573224,2.1554619967664514,2.2827157810113263
72,7_JaxFiveStateAgent,0.1,2.2307444444444444,0.10813007903340105,10.0,0.034193733331956536,2.153392845662836,2.308096043226053
73,7_JaxFiveStateAgent,0.15,2.1862055555555555,0.0636648624590846,10.0,0.020132597229205573,2.1406624565266514,2.2317486545844596
74,7_JaxFiveStateAgent,0.2,2.146405555555556,0.0636457803522979,10.0,0.02012656293720552,2.1008761070435225,2.1919350040675893
75,7_JaxFiveStateAgent,0.25,2.147044444444444,0.07030201260760875,10.0,0.022231448393391688,2.096753414220712,2.197335474668176
76,7_JaxFiveStateAgent,0.3,2.136516666666666,0.0458819461611983,10.0,0.01450914533506057,2.1036946996200676,2.1693386337132647
77,7_JaxFiveStateAgent,0.35,2.141783333333333,0.02367375784913731,10.0,0.007486299557856273,2.124848147165257,2.1587185195014094
78,7_JaxFiveStateAgent,0.4,2.1734944444444446,0.02157922287948077,10.0,0.00682394944355764,2.1580575983317463,2.188931290557143
79,7_JaxFiveStateAgent,0.45,2.2088166666666664,0.018138925283082266,10.0,0.005736031820215444,2.195840861198207,2.221792472135126
80,8_JaxFiveStateAgentDecay,0.0,2.308177777777778,0.13969682733165242,10.0,0.04417601562672839,2.2082446876014195,2.4081108679541363
81,8_JaxFiveStateAgentDecay,0.05,2.2096999999999993,0.08730555585015488,10.0,0.027608440887352752,2.1472453676914403,2.2721546323085584
82,8_JaxFiveStateAgentDecay,0.1,2.2281722222222227,0.1068093999051266,10.0,0.03377609792159724,2.15176538037562,2.3045790640688253
83,8_JaxFiveStateAgentDecay,0.15,2.179661111111111,0.0637127655591789,10.0,0.020147745519533675,2.134083744268736,2.2252384779534857
84,8_JaxFiveStateAgentDecay,0.2,2.1463722222222215,0.07431360830946487,10.0,0.0235000263403524,2.0932114693091335,2.1995329751353094
85,8_JaxFiveStateAgentDecay,0.25,2.146338888888889,0.06933551184651227,10.0,0.021925814016856573,2.09673925165925,2.195938526118528
86,8_JaxFiveStateAgentDecay,0.3,2.1380388888888886,0.047154636093129275,10.0,0.014911605229067225,2.1043064943103014,2.171771283467476
87,8_JaxFiveStateAgentDecay,0.35,2.141966666666667,0.022889970608503705,10.0,0.007238444269718206,2.1255921681140038,2.15834116521933
88,8_JaxFiveStateAgentDecay,0.4,2.175311111111111,0.021614946182932856,10.0,0.006835246144003035,2.159848710086584,2.1907735121356384
89,8_JaxFiveStateAgentDecay,0.45,2.211727777777778,0.01882488156618243,10.0,0.005952950243205422,2.198261268744997,2.225194286810559
90,9_JaxFiveStateAgentNoisy,0.0,2.381061111111111,0.11071758537180267,10.0,0.03501197468090369,2.301858521801038,2.4602637004211836
91,9_JaxFiveStateAgentNoisy,0.05,2.2159,0.08793307796429252,10.0,0.02780688080363266,2.152996465413432,2.278803534586568
92,9_JaxFiveStateAgentNoisy,0.1,2.1366,0.06288309095116128,10.0,0.019885379371719365,2.0916161466181937,2.1815838533818064
93,9_JaxFiveStateAgentNoisy,0.15,2.1186333333333334,0.0717386622770102,10.0,0.02268575690889534,2.0673145858471087,2.169952080819558
94,9_JaxFiveStateAgentNoisy,0.2,2.0892722222222218,0.05967466926815238,10.0,0.01887078735046148,2.0465835354486788,2.1319609089957647
95,9_JaxFiveStateAgentNoisy,0.25,2.11325,0.054774705357954805,10.0,0.01732128270957657,2.0740665362487105,2.152433463751289
96,9_JaxFiveStateAgentNoisy,0.3,2.1187555555555555,0.03393609543521765,10.0,0.01073153564681309,2.0944791353236933,2.1430319757874177
97,9_JaxFiveStateAgentNoisy,0.35,2.1614222222222224,0.022733353245710058,10.0,0.007188917510962523,2.145159760981631,2.1776846834628136
98,9_JaxFiveStateAgentNoisy,0.4,2.1887666666666665,0.024260811372456892,10.0,0.007671942182067938,2.171411527706499,2.206121805626834
99,9_JaxFiveStateAgentNoisy,0.45,2.226983333333333,0.015994963413379065,10.0,0.005058051547733918,2.2155412257945417,2.2384254408721245
