,testing_strategy,noise_level,mean_score,std_dev,n_reps,se,ci_lower,ci_upper
0,0_DBS,0.0,3.2443333333333335,0.0,10.0,0.0,3.2443333333333335,3.2443333333333335
1,0_DBS,0.05,2.9801111111111114,0.016849776021924612,10.0,0.005328367029297302,2.968057507469471,2.992164714752752
2,0_DBS,0.1,2.840188888888889,0.07077540453799713,10.0,0.022381148065988805,2.789559214478514,2.890818563299264
3,0_DBS,0.15,2.679072222222222,0.01357739714768256,10.0,0.004293549968335043,2.669359537407281,2.688784907037163
4,0_DBS,0.2,2.5686,0.0439087140721265,10.0,0.013885154559700658,2.537189598155437,2.600010401844563
5,0_DBS,0.25,2.4720611111111106,0.011651325892864283,10.0,0.0036844727582346117,2.463726254669729,2.480395967552492
6,0_DBS,0.3,2.3890666666666673,0.016830364811798275,10.0,0.005322228665683367,2.3770269489682443,2.4011063843650904
7,0_DBS,0.35,2.3479944444444447,0.013924040701786952,10.0,0.004403168285053612,2.338033785769159,2.3579551031197306
8,0_DBS,0.4,2.310411111111111,0.019127956973949277,10.0,0.006048791102338175,2.2967277949923486,2.324094427229874
9,0_DBS,0.45,2.275533333333333,0.016464581431088934,10.0,0.005206557804355566,2.2637552813023962,2.28731138536427
10,1_RiskyQLearner,0.0,1.8577333333333332,0.017340193324376408,10.0,0.005483450597267637,1.8453289062875677,1.8701377603790987
11,1_RiskyQLearner,0.05,1.8679444444444446,0.009359274648597142,10.0,0.0029596625136639,1.861249222689529,1.8746396661993603
12,1_RiskyQLearner,0.1,1.90245,0.009537646510550706,10.0,0.003016068649089739,1.895627178701802,1.909272821298198
13,1_RiskyQLearner,0.15,1.9431,0.009176922807156308,10.0,0.0029019977982160084,1.936535224894179,1.9496647751058211
14,1_RiskyQLearner,0.2,1.9890944444444443,0.009437871714352378,10.0,0.002984517088183157,1.9823429977357503,1.9958458911531383
